repo	agent_role	path	domain	memory_tier	process_stream	size_bytes	mtime_utc
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/src/interfaces/com_agent_interface.py	code	operational	transport	881	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/tests/integration/.gitkeep	other	operational	validation	0	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/tests/integration/test_cli.py	code	operational	validation	1064	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/tests/test_com_agent_bridge_queue.py	code	operational	validation	975	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/tests/test_governance_artifacts.py	code	operational	validation	770	2026-02-17T02:00:46Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/tests/test_runtime_smoke.py	code	operational	validation	49	2026-02-13T01:00:51Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/tests/unit/.gitkeep	other	operational	validation	0	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/tests/unit/test_core.py	code	operational	validation	416	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/GATEWAY_ACCESS_CONTRACT.md	docs	long_term	contract_control	1348	2026-02-17T01:09:45Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/INTERACTION_PROTOCOL.md	docs	long_term	contract_control	11650	2026-02-16T07:56:51Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/SYSTEM_STATE_CONTRACT.md	docs	long_term	contract_control	1396	2026-02-12T22:50:10Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/WORKFLOW_SNAPSHOT_CONTRACT.md	docs	long_term	contract_control	3461	2026-02-12T22:50:10Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/.gitignore	other	long_term	general	4345	2026-02-13T08:16:40Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/LICENSE	other	long_term	general	1065	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/SYSTEM_STATE.md	docs	long_term	general	286	2026-02-12T22:50:10Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/WORKFLOW_SNAPSHOT_STATE.md	docs	long_term	general	1306	2026-02-13T07:26:42Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/docs/AGENTS.md	docs	long_term	general	466	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/start.py	code	long_term	general	65	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/DEV_LOGS.md	docs	long_term	governance	1272	2026-02-17T02:07:00Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/README.md	docs	long_term	governance	119	2026-02-17T02:06:33Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/ROADMAP.md	docs	long_term	governance	1216	2026-02-17T02:06:52Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/WB01_LAM_COMM_AGENT_ANALYSIS_2026-02-17.md	docs	long_term	governance	570	2026-02-17T02:07:07Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/reqs/requirements.txt	docs	operational	general	24	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/src/__init__.py	code	operational	general	0	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/src/agents/__init__.py	code	operational	general	0	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/src/core/__init__.py	code	operational	general	0	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/src/interfaces/__init__.py	code	operational	general	56	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/src/main.py	code	operational	general	64	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/src/prompts/__init__.py	code	operational	general	0	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/scripts/aess_autostart.sh	code	operational	orchestration	1364	2026-02-17T00:15:29Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/scripts/gateway_io.sh	code	operational	orchestration	2510	2026-02-17T01:09:45Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/scripts/test_entrypoint.sh	code	operational	orchestration	593	2026-02-17T02:06:12Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/src/agents/com_agent.py	code	operational	transport	746	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/src/interfaces/com_agent_interface.py	code	operational	transport	5106	2026-02-12T21:20:24Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/tests/test_governance_artifacts.py	code	operational	validation	770	2026-02-17T02:03:18Z
LAM_Comunication_Agent	communication_bus	LAM_Comunication_Agent/tests/test_runtime_smoke.py	code	operational	validation	49	2026-02-13T01:00:57Z
